Sport,Athlete,Program
Alpine Skiing,Sam Morse,Not indicated
Alpine Skiing,Tallulah Proulx,Park City Ski & Snowboard; The Winter Sports School
Alpine Skiing,Winston Tang,Park City Ski & Snowboard; The Winter Sports School
Alpine Skiing,Lindsey Vonn,Not indicated
Alpine Skiing,Isabella Wright,Not indicated
Bobsleigh,Caleb Furnell,Not indicated
Cross-Country Skiing,Rosie Brennan,Park City Ski & Snowboard; Park City School District
Freeski Halfpipe,Zoe Atkin,Park City Ski & Snowboard; The Winter Sports School; Park City School District
Freeski Halfpipe,Hunter Hess,Not indicated
Freeski Slopestyle & Big Air,Mac Forehand,The Winter Sports School
Freeski Slopestyle & Big Air,Alex Hall,Park City Ski & Snowboard; The Winter Sports School
Freeski Slopestyle & Big Air,Marin Hamill,Park City Ski & Snowboard; The Winter Sports School; Park City School District; JANS
Freeski Slopestyle & Big Air,Rell Harwood,Park City Ski & Snowboard; The Winter Sports School
Freeski Slopestyle & Big Air,Grace Henderson,Not indicated
Freeski Slopestyle & Big Air,Troy Podmilsak,Park City Ski & Snowboard; Park City School District
Freestyle Aerials,Connor Curran,Park City Ski & Snowboard; YSA Scholarship Recipient
Freestyle Aerials,Quinn Dehlinger,Not indicated
Freestyle Aerials,Kyra Dossa,Park City Ski & Snowboard; YSA Scholarship Recipient
Freestyle Aerials,Derek Krueger,Park City Ski & Snowboard
Freestyle Aerials,Kaila Kuhn,Park City Ski & Snowboard
Freestyle Aerials,Chris Lillis,Not indicated
Freestyle Aerials,Tasia Tanner,Park City Ski & Snowboard
Freestyle Aerials,Winter Vinecki,Park City Ski & Snowboard; JANS
Freestyle Moguls,Avital Carroll,Wasatch Freestyle
Freestyle Moguls,Olivia Giaccio,Not indicated
Freestyle Moguls,Tess Johnson,Not indicated
Freestyle Moguls,Charlie Mickel,Wasatch Freestyle
Freestyle Moguls,Nick Page,Wasatch Freestyle; JANS
Freestyle Moguls,Landon Wendler,Wasatch Freestyle
Luge,Ashley Farquharson,Wasatch Luge Club; Park City School District; JANS; YSA Scholarship Recipient
Luge,Matt Greiner,Wasatch Luge Club; Park City School District; JANS; YSA Scholarship Recipient
Nordic Combined,Ben Loomis,Park City Ski & Snowboard; The Winter Sports School
Ski Jumping,Kevin Bickner,Park City Ski & Snowboard; The Winter Sports School; Park City School District
Ski Jumping,Josie Johnson,Park City Ski & Snowboard; The Winter Sports School
Ski Jumping,Paige Jones,Park City Ski & Snowboard; Park City School District
Snowboard Cross,Stacy Gaskill,Not indicated
Snowboard Cross,Hanna Percy,Not indicated
Snowboard Cross,Faye Thelen,Not indicated
Speed Skating,Ethan Cepuran,Not indicated
Speed Skating,Casey Dawson,Park City Speed Skating Club; Park City School District; JANS
