Event ID,Sport,Event,Date,Athlete,Result
alp-07-february-1130-52,Alpine Skiing,Men's Downhill,2026-02-07,Sam Morse,
ccs-07-february-1300-56,Cross-Country Skiing,Women's 10km + 10km Skiathlon,2026-02-07,Rosie Brennan,
sjp-07-february-1957-79,Ski Jumping,Women's NH Individual,2026-02-07,Josie Johnson,
sjp-07-february-1957-79,Ski Jumping,Women's NH Individual,2026-02-07,Paige Jones,
alp-08-february-1130-91,Alpine Skiing,Women's Downhill,2026-02-08,Isabella Wright,
alp-08-february-1130-91,Alpine Skiing,Women's Downhill,2026-02-08,Lindsey Vonn,
unk-08-february-1831-116,Luge,Men's Singles,2026-02-08,Matt Greiner,
ssk-08-february-1600-112,Speed Skating,Men's 5000m,2026-02-08,Ethan Cepuran,
frs-09-february-1328-142,Freestyle Skiing,Women's Freeski Slopestyle,2026-02-09,Grace Henderson,
frs-09-february-1328-142,Freestyle Skiing,Women's Freeski Slopestyle,2026-02-09,Marin Hamill,
frs-09-february-1328-142,Freestyle Skiing,Women's Freeski Slopestyle,2026-02-09,Rell Harwood,
sjp-09-february-2012-158,Ski Jumping,Men's NH Individual,2026-02-09,Kevin Bickner,
unk-10-february-1841-198,Luge,Women's Singles,2026-02-10,Ashley Farquharson,
alp-10-february-1400-190,Alpine Skiing,Women's Team Combined Slalom,2026-02-10,Madison Hoffman,
alp-10-february-1400-190,Alpine Skiing,Women's Team Combined Slalom,2026-02-10,Tallulah Proulx,
ccs-10-february-1313-185,Cross-Country Skiing,Women's Sprint Classic Final,2026-02-10,Rosie Brennan,
unk-10-february-1328-187,Freestyle Skiing,Men's Freeski Slopestyle,2026-02-10,Alex Hall,
unk-10-february-1328-187,Freestyle Skiing,Men's Freeski Slopestyle,2026-02-10,Mac Forehand,
unk-10-february-1328-187,Freestyle Skiing,Men's Freeski Slopestyle,2026-02-10,Troy Podmilsak,
sjp-10-february-2000-200,Ski Jumping,Mixed Team,2026-02-10,Kevin Bickner,
frs-11-february-1455-214,Freestyle Skiing,Women's Moguls Final,2026-02-11,Avital Carroll,
frs-11-february-1455-214,Freestyle Skiing,Women's Moguls Final,2026-02-11,Olivia Giaccio,
frs-11-february-1455-214,Freestyle Skiing,Women's Moguls Final,2026-02-11,Tess Johnson,
ncb-11-february-1345-211,Nordic Combined,Ind. Gund. NH/10km Cross-Country,2026-02-11,Ben Loomis,
alp-12-february-1130-238,Alpine Skiing,Women's Super-G,2026-02-12,Isabella Wright,
